"Pantry Visit Where Distributed: Household Name","Pantry Visit Where Distributed: Household ID 18"
"20 Stephenson(SHA)","001VO00000vXETBYA4"
"808 Memorial Dr","0014z00001jXHrSAAW"
"85 Lenox St.","0014z00001kGEd7AAG"
"Brady Towers","0014z00001n1iEDAAY"
"Bryant Manor","0014z00001n1T34AAE"
"Bunker Hill Community College","0014z00001kFqzdAAC"
"Cambridge Community Center","0014z00001kFqzeAAC"
"Capen Court","0014z00001ooK1EAAU"
"Central Assembly of God","0014z00001kGIpWAAW"
"CEOC Pantry","0014z00001kFqziAAC"
"CHA - Roosevelt Towers","0014z00001kGEdKAAW"
"CHA Zinberg Clinic Food Pantry","0014z00001oqwxZAAQ"
"Ciampa Manor","0014z00001n1PTHAA2"
"City of Revere","0014z00001ts00AAAQ"
"Clarendon Hill Towers","0014z00001kGEdLAAW"
"Community Charter School of Cambridge","0014z00001n1K3eAAE"
"East Boston Community Soup Kitchen","0014z00001kGEdMAAW"
"East End House","0014z00001kFqznAAC"
"East Somerville Community School","0014z00001kGEdNAAW"
"First Parish Church","0014z00001rD3c0AAC"
"Fletcher Maynard Academy","0014z00001n15agAAA"
"Food for Free - Inner Belt","0014z00001kFgMEAA0"
"Fresh Pond (Run by Community Charter School)","0014z00001kGEdQAAW"
"Graham & Parks School","0014z00001opdU3AAI"
"Grant Manor Homeowners Association Food Pantry","0014z00001kFqzvAAC"
"Healey School","0014z00001kGEdUAAW"
"Highland Garden","0014z00001n1iE8AAI"
"Just Roots","001VO00000XYBfcYAH"
"Margaret Fuller House","0014z00001kG8MOAA0"
"Mass. Ave. Baptist","0014z00001kG8PcAAK"
"Mission Main","0014z00001kGEddAAG"
"MLK School","0014z00001kGEdeAAG"
"Mystic River/Mystic View Apartments","0014z00001kGEdfAAG"
"North Street","0014z00001kGEdgAAG"
"Peabody School","0014z00001kGEdiAAG"
"Pine Street Inn","0014z00001kSA0KAAW"
"Pleasant Hill Baptist Church","0014z00001kGEdkAAG"
"Properzi Manor","0014z00001n1PTRAA2"
"Putnam School","001VO00000FnT8IYAV"
"Revival","0014z00001kFr0BAAS"
"Somerville High School","0014z00001kGEdpAAG"
"Somerville YMCA","0014z00001kGEe5AAG"
"St. Paul's AME Pantry","0014z00001kFr0GAAS"
"Walden Square Apartments","0014z00001kGEe2AAG"
"West Somerville Neighborhood School","0014z00001kGEe3AAG"
